Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x >= ( -10000 - 1 ) && x == ( 10000 * x ) ) || ( x <= ( n + 0 ) && x >= ( x - x ) ) || x == ( 10000 * -10000 ) ), Failed, Yes, "None",  14,  89.19
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  12,  38.81
104, fuzz_spec, ( ( x <= ( 0 + 0 ) || n >= ( 1 * x ) ) && ( x > ( 1 * n ) || n >= n ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  10,  43.68
105, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  33.95
10, fuzz_spec, ( ( y > ( y - x ) || x <= ( 0 + 4 ) ) && ( y >= ( x - 2 ) || x > ( 0 + 4 ) ) ), Passed, Yes, "[Or(Not(x <= 0), x <= 4), Or(y >= -2 + x, Not(x <= 4))]",  22,  86.40
116, fuzz_spec, ( ( x <= x && x == ( sn * 1 ) ) ), Passed, Yes, "[]",  13,  50.17
11, fuzz_spec, ( y >= ( x - 10 ) || y == ( x * 10 ) ), Failed, Yes, "[Or(y == 10*x, y >= -10 + x)]",  19,  130.11
120, fuzz_spec, ( sn < ( 8 + 1 ) && ( sn == ( 8 + 1 ) || sn == ( i - 1 ) ) ), Passed, Yes, "[Not(9 <= sn), Or(sn == 9, sn == -1 + i)]",  23,  441.00
128, fuzz_spec, ( ( x >= 1 && y == ( 1 * y ) ) || ( x > ( 1 - x ) && x < ( y - 1 ) ) ), Passed, Yes, "[Or(x >= 1, And(Not(x <= 0), Not(y <= 1 + x)))]",  9,  35.29
129, fuzz_spec, ( ( x >= 1 && y < ( 1 * x ) ) || x >= 1 || y >= 1 ), Passed, Yes, "[Or(And(x >= 1, Not(x <= y)), x >= 1, y >= 1)]",  8,  32.41
12, fuzz_spec, ( x < ( 20 + y ) ), Passed, Yes, "[Not(y <= -20 + x)]",  15,  71.60
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  9,  33.11
13, fuzz_spec, ( y > ( x - 4 ) ), Passed, Yes, "[Not(y <= -4 + x)]",  21,  176.29
14, fuzz_spec, ( ( x < ( 4 + y ) || y > 4 ) ), Passed, Yes, "[Or(Not(y <= 4), Not(y <= -4 + x))]",  18,  146.04
15, fuzz_spec, ( m <= ( 0 - 0 ) || ( n > m && n >= ( 1 + 0 ) ) ), Passed, Yes, "[Or(m <= 0, And(Not(n <= m), n >= 1))]",  28,  116.02
16, fuzz_spec, ( x > ( 1 * x ) || m > ( 1 * m ) || ( m >= ( 0 * x ) && x >= ( 0 * x ) ) ), Passed, Yes, "[m >= 0, x >= 0]",  31,  186.27
17, fuzz_spec, ( ( m <= ( n - 1 ) || n <= ( 1 * 1 ) ) ), Passed, Yes, "[Or(n <= 1, m <= -1 + n)]",  16,  73.36
19, fuzz_spec, ( n >= ( m + n ) || ( m >= ( m + m ) && x < ( 0 * 0 ) ) || n >= ( 1 + m ) ), Passed, Yes, "[Or(n >= 1 + m, 0 >= m, And(m <= 0, Not(0 <= x)))]",  28,  153.00
20, fuzz_spec, ( ( m >= ( x - x ) && n <= ( x + n ) ) ), Passed, Yes, "[m >= 0, 0 <= x]",  18,  130.07
41, fuzz_spec, ( n >= ( c * n ) && ( c < 1 || c <= ( 0 * n ) ) ), Failed, Yes, "[n >= c*n, Or(Not(1 <= c), c <= 0)]",  8,  11.13
4, fuzz_spec, ( x < ( 1 + 1 ) || ( y < ( z - 1 ) && x < 1 ) || y <= z ), Passed, Yes, "[Or(y <= z, Not(2 <= x), And(Not(z <= 1 + y), Not(1 <= x)))]",  20,  331.98
51, fuzz_spec, ( c <= ( 4 + 0 ) && c <= c && c >= c ), Passed, Yes, "[c <= 4]",  16,  46.56
54, fuzz_spec, ( ( n > c && c >= 0 ) ), Passed, Yes, "[Not(n <= c), c >= 0]",  5,  26.12
63, fuzz_spec, ( ( x <= 10 || y == ( 0 - 0 ) ) ), Passed, Yes, "[Or(x <= 10, y == 0)]",  16,  128.06
70, fuzz_spec, ( n <= ( 0 * 0 ) || n >= ( x * n ) || y < n ), Passed, Yes, "[Or(n <= 0, n >= n*x, Not(n <= y))]",  34,  483.22
74, fuzz_spec, ( z > ( y - y ) && ( c > ( c + 127 ) || z == z ) ), Passed, Yes, "[Not(z <= 0)]",  11,  35.55
77, fuzz_spec, ( x >= y ), Passed, Yes, "[x >= y]",  16,  43.73
79, fuzz_spec, ( ( x >= y || i >= y ) ), Passed, Yes, "[Or(i >= y, x >= y)]",  19,  48.63
80, fuzz_spec, ( y <= x ), Passed, Yes, "[y <= x]",  4,  24.59
