Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x >= ( 10000 * x ) && x <= ( 0 - 0 ) ) || ( n > ( x - 1 ) && n <= ( -10000 * -10000 ) ) ), Failed, Yes, "None",  14,  178.25
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  26.59
104, fuzz_spec, ( x < ( 0 - x ) || ( x <= 1 && n < ( 0 * 0 ) ) || ( x <= n && x < ( 1 + x ) ) ), Passed, Yes, "[Or(Not(x >= 0), x <= n, And(x <= 1, Not(0 <= n)))]",  11,  68.02
105, fuzz_spec, ( ( x == x && n >= ( x * 1 ) ) || ( n <= 0 && n < 0 ) ), Passed, Yes, "[Or(n >= x, And(n <= 0, Not(0 <= n)))]",  9,  41.28
10, fuzz_spec, ( ( y < ( 4 + x ) && x < ( 4 + y ) ) ), Passed, Yes, "[Not(x <= -4 + y), Not(y <= -4 + x)]",  17,  49.44
116, fuzz_spec, ( ( x == ( -1 - x ) && x == 1 ) || ( x >= ( sn * -1 ) && x == ( sn * 1 ) ) ), Passed, Yes, "None",  9,  36.90
11, fuzz_spec, ( ( x == y || y >= ( x - 10 ) ) ), Passed, Yes, "[Or(x == y, y >= -10 + x)]",  12,  32.89
128, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  9,  23.37
129, fuzz_spec, ( x > ( 1 - 1 ) || ( x >= ( y + x ) && x > ( 1 * 1 ) ) ), Passed, Yes, "[Or(Not(x <= 0), And(0 >= y, Not(x <= 1)))]",  9,  23.69
12, fuzz_spec, ( x <= ( y + 10 ) ), Passed, Yes, "[x <= 10 + y]",  27,  119.76
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  8,  21.21
13, fuzz_spec, ( y < ( y * 4 ) || ( x <= 2 && x >= ( 0 - y ) ) ), Failed, Yes, "[Or(Not(y <= 0), And(x <= 2, x >= -1*y))]",  19,  58.30
14, fuzz_spec, ( x < ( 4 + y ) && ( y == ( y - 0 ) || y == ( x * 0 ) ) ), Passed, Yes, "[Not(y <= -4 + x)]",  27,  109.57
15, fuzz_spec, ( ( n <= ( 1 - 1 ) || m < n ) ), Passed, Yes, "[Or(n <= 0, Not(n <= m))]",  16,  64.02
16, fuzz_spec, ( x > ( m - 1 ) && ( m <= ( m + m ) || n <= m ) ), Passed, Yes, "[Not(x <= -1 + m), Or(n <= m, m >= 0)]",  31,  116.48
17, fuzz_spec, ( ( m <= 1 && x == ( x * 1 ) ) || m < ( n * 1 ) ), Passed, Yes, "[Or(m <= 1, Not(n <= m))]",  25,  251.60
19, fuzz_spec, ( n > ( m * 1 ) || m <= 0 ), Passed, Yes, "[Or(Not(n <= m), m <= 0)]",  16,  87.94
20, fuzz_spec, ( m >= ( 0 * m ) && x >= ( n * 0 ) ), Passed, Yes, "[m >= 0, x >= 0]",  23,  97.66
41, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  20.20
4, fuzz_spec, ( y <= z || ( x <= ( z + x ) && x <= ( 500 - 500 ) ) || ( x <= ( x + x ) && x <= ( 500 * 0 ) ) ), Passed, Yes, "[Or(y <= z, And(0 <= z, x <= 0), And(x >= 0, x <= 0))]",  20,  371.10
51, fuzz_spec, ( c < ( 4 + 1 ) ), Passed, Yes, "[Not(5 <= c)]",  18,  39.17
54, fuzz_spec, ( ( n > c && c >= 0 ) ), Passed, Yes, "[Not(n <= c), c >= 0]",  5,  15.89
63, fuzz_spec, ( y == ( x * y ) || x <= ( 10 + 0 ) ), Passed, Yes, "[Or(y == x*y, x <= 10)]",  12,  40.76
70, fuzz_spec, ( n >= ( 1 + y ) || ( y <= ( n + 1 ) && n > ( 1 * y ) ) || ( x <= ( 1 + 0 ) && x < ( 1 + 1 ) ) ), Passed, Yes, "[Or(n >= 1 + y,
    And(y <= 1 + n, Not(n <= y)),
    And(x <= 1, Not(2 <= x)))]",  24,  101.98
74, fuzz_spec, ( ( c > ( z * 127 ) || z > ( c * 1 ) ) && ( z > ( z + 0 ) || z > 127 ) && ( z <= ( z + 1 ) || z < ( 36 * c ) ) ), Passed, Yes, "[Or(Not(z <= c), Not(c <= 127*z)), Not(z <= 127)]",  10,  24.53
77, fuzz_spec, ( y <= x ), Passed, Yes, "[y <= x]",  16,  32.17
79, fuzz_spec, ( ( x < ( 1 + x ) && i >= 0 ) || ( y < ( x * 0 ) && x >= 0 ) ), Passed, Yes, "[Or(i >= 0, And(Not(0 <= y), x >= 0))]",  17,  34.16
80, fuzz_spec, ( y <= x ), Passed, Yes, "[y <= x]",  4,  14.43
