Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( n >= ( x - 0 ) || x <= ( 0 * x ) || ( n > 0 && n <= ( x * 0 ) ) ), Passed, Yes, "[Or(n >= x, x <= 0)]",  14,  77.63
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  45.68
104, fuzz_spec, ( ( x <= ( n + 0 ) || x < 1 ) ), Passed, Yes, "[Or(x <= n, Not(1 <= x))]",  12,  52.71
105, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  43.41
10, fuzz_spec, ( x == x ), Failed, Yes, "[]",  4,  5.41
116, fuzz_spec, ( ( sn == x && sn > ( -1 + x ) ) ), Passed, Yes, "None",  11,  16.91
11, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  4.21
120, fuzz_spec, ( ( sn < ( 0 + sn ) || i >= ( sn - i ) ) && i <= ( 8 + 1 ) ), Failed, Yes, "[2*i >= sn, i <= 9]",  19,  150.01
128, fuzz_spec, ( x > ( 1 - 1 ) || ( x >= ( y + x ) && x > ( 1 * 1 ) ) ), Passed, Yes, "[Or(Not(x <= 0), And(0 >= y, Not(x <= 1)))]",  9,  42.80
129, fuzz_spec, ( x > ( 1 - 1 ) || ( x >= ( y + x ) && x > ( 1 * 1 ) ) ), Passed, Yes, "[Or(Not(x <= 0), And(0 >= y, Not(x <= 1)))]",  9,  42.67
12, fuzz_spec, ( x == x ), Failed, Yes, "[]",  4,  5.34
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  10,  43.33
13, fuzz_spec, ( y == y ), Failed, Yes, "[]",  4,  5.37
14, fuzz_spec, ( x > ( y * x ) || x <= ( x + y ) ), Failed, Yes, "[Or(Not(x <= x*y), 0 <= y)]",  3,  4.10
15, fuzz_spec, ( ( m <= ( 0 * x ) && n > ( n + 1 ) ) || ( m == ( 0 + m ) && x >= m ) ), Failed, Yes, "[x >= m]",  4,  5.43
16, fuzz_spec, ( n >= ( 0 * x ) || m >= 0 ), Failed, Yes, "[Or(n >= 0, m >= 0)]",  1,  1.32
17, fuzz_spec, ( x >= ( m - 1 ) || n <= 1 || ( m > ( 1 * x ) && x == x ) ), Failed, Yes, "[Or(n <= 1, x >= -1 + m, Not(m <= x))]",  2,  2.76
18, fuzz_spec, ( ( x == 1 && m >= 1 ) ), Failed, Yes, "[m >= 1]",  17,  58.08
19, fuzz_spec, ( m <= ( n + 0 ) ), Failed, Yes, "[m <= n]",  14,  21.03
20, fuzz_spec, ( ( x <= ( m + m ) && x >= ( m - x ) ) || ( x >= ( m + m ) && m <= ( m + m ) ) ), Passed, Yes, "[Or(And(x <= 2*m, 2*x >= m), And(x >= 2*m, m >= 0))]",  24,  147.81
21, fuzz_spec, ( ( n >= ( 10000 * 10000 ) || n <= n ) ), Failed, Yes, "[]",  3,  4.04
22, fuzz_spec, ( ( m >= m || m > ( 1 + 1 ) ) && m >= 1 ), Failed, Yes, "[m >= 1]",  12,  18.91
28, fuzz_spec, ( ( n <= ( n + x ) || x >= n ) && ( n >= ( n + 0 ) || x >= ( 1 + n ) ) ), Passed, Yes, "[Or(0 <= x, x >= n)]",  11,  24.88
29, fuzz_spec, ( n > n || ( x >= ( x - x ) && n > ( x * 0 ) ) || ( n <= ( n * 1 ) && n <= ( x + 0 ) ) ), Passed, Yes, "[Or(n <= x, And(x >= 0, Not(n <= 0)))]",  10,  32.53
2, fuzz_spec, ( y <= ( x + 0 ) && x > ( x - x ) && ( y >= ( y * -10000 ) || y > ( y + 0 ) ) ), Passed, Yes, "None",  27,  195.97
30, fuzz_spec, ( x >= ( x - x ) || x == 100 ), Passed, Yes, "[Or(x >= 0, x == 100)]",  13,  47.16
35, fuzz_spec, ( c >= c && c <= ( c + c ) && c <= c ), Passed, Yes, "[c >= 0]",  13,  78.13
36, fuzz_spec, ( ( c <= ( 40 * 1 ) && c >= ( c - c ) ) ), Passed, Yes, "[c <= 40, c >= 0]",  12,  80.98
37, fuzz_spec, ( ( c == ( c * c ) && c > ( 40 - 1 ) ) || c >= ( c - 0 ) || ( c == c && c <= ( 40 - 40 ) ) ), Passed, Yes, "[]",  8,  39.97
38, fuzz_spec, ( c == ( n * 0 ) || ( c <= c && n > ( c * 0 ) ) || ( n == ( 0 - 0 ) && c == ( c + 0 ) ) ), Failed, Yes, "[Or(c == 0, Not(n <= 0), n == 0)]",  7,  10.66
39, fuzz_spec, ( n <= n || ( n >= ( n + 1 ) && c < ( c * 1 ) ) || c <= ( 1 + c ) ), Passed, Yes, "[]",  7,  9.49
3, fuzz_spec, ( ( y <= ( 1 * z ) || x == ( x * 5 ) ) ), Passed, Yes, "[Or(y <= z, x == 0)]",  11,  23.20
40, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  40.35
41, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  9,  41.46
4, fuzz_spec, ( x < 500 ), Failed, Yes, "[Not(500 <= x)]",  10,  21.76
51, fuzz_spec, ( c < ( 4 + 1 ) ), Passed, Yes, "[Not(5 <= c)]",  18,  59.08
54, fuzz_spec, ( ( n > c && c >= 0 ) ), Passed, Yes, "[Not(n <= c), c >= 0]",  5,  35.80
63, fuzz_spec, ( x <= ( 0 + 10 ) || ( y > ( x - y ) && y >= ( x * y ) ) || ( y >= ( x * 0 ) && x == ( x - 0 ) ) ), Passed, Yes, "[Or(And(Not(2*y <= x), y >= x*y), y >= 0, x <= 10)]",  13,  50.13
65, fuzz_spec, ( x < ( 0 + x ) || x <= ( 100 + 1 ) ), Failed, Yes, "[x <= 101]",  12,  40.93
68, fuzz_spec, ( y >= ( x * n ) || ( y == ( y * y ) && x < ( x * 0 ) ) || y < ( n - 0 ) ), Failed, Yes, "[Or(y >= n*x, And(y == y*y, Not(0 <= x)), Not(n <= y))]",  21,  424.08
70, fuzz_spec, ( x == 1 ), Failed, Yes, "[]",  25,  105.59
