Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( x >= ( 10000 * x ) || x <= ( n * 1 ) ), Passed, Yes, "[Or(x <= 0, x <= n)]",  12,  71.82
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  45.66
104, fuzz_spec, ( x >= x && x >= 0 && ( x == ( n * 0 ) || x <= ( n * 1 ) ) ), Passed, Yes, "[x >= 0, Or(x == 0, x <= n)]",  11,  55.81
105, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  43.32
10, fuzz_spec, ( y <= ( y - y ) || x >= ( 0 * x ) ), Failed, Yes, "[Or(y <= 0, x >= 0)]",  2,  2.71
116, fuzz_spec, ( sn == ( x + 0 ) && ( x >= ( -1 + sn ) || x >= ( x + 1 ) ) && sn > -1 ), Passed, Yes, "None",  10,  44.76
11, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  4.05
120, fuzz_spec, ( i <= ( 8 + 1 ) ), Failed, Yes, "[i <= 9]",  12,  83.21
128, fuzz_spec, ( ( x >= 1 && y < ( 1 * x ) ) || x >= 1 || y >= 1 ), Passed, Yes, "[Or(And(x >= 1, Not(x <= y)), x >= 1, y >= 1)]",  8,  41.20
129, fuzz_spec, ( x >= 1 && y >= ( y - x ) ), Passed, Yes, "[x >= 1, x >= 0]",  9,  15.53
12, fuzz_spec, ( x > ( y * x ) || x <= ( x + y ) ), Failed, Yes, "[Or(Not(x <= x*y), 0 <= y)]",  3,  4.06
133, fuzz_spec, ( x < ( 1 * 0 ) || n >= ( x + 0 ) ), Failed, Yes, "[Or(Not(0 <= x), n >= x)]",  1,  1.32
13, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  4.02
14, fuzz_spec, ( ( x == x || y > x ) && ( x == ( y * 4 ) || x < ( 4 + y ) ) ), Failed, Yes, "[Or(Not(y <= -4 + x), x == 4*y)]",  12,  16.71
15, fuzz_spec, ( ( n <= ( 0 * n ) && x < ( 1 + 0 ) ) || ( x <= ( 1 * n ) && n > m ) ), Passed, Yes, "[Or(And(n <= 0, Not(1 <= x)), And(x <= n, Not(n <= m)))]",  24,  241.09
16, fuzz_spec, ( ( m >= 0 || n == ( m * n ) ) && ( n <= 0 || x > ( m - n ) ) ), Failed, Yes, "[Or(m >= 0, n == m*n), Or(n <= 0, Not(x <= m + -1*n))]",  26,  77.86
17, fuzz_spec, ( m < ( 1 * n ) || ( m > ( 1 - 1 ) && x > n ) ), Failed, Yes, "[Or(Not(n <= m), And(Not(m <= 0), Not(x <= n)))]",  9,  12.70
18, fuzz_spec, ( x > ( 10000 - 1 ) || m > ( -10000 + 1 ) ), Failed, Yes, "None",  2,  2.74
19, fuzz_spec, ( ( m <= 0 && n <= 0 ) || n > m ), Passed, Yes, "[Or(And(m <= 0, n <= 0), Not(n <= m))]",  17,  108.92
20, fuzz_spec, ( ( x >= ( x * 0 ) && m >= ( x * 0 ) ) || ( n >= n && n < 1 ) ), Passed, Yes, "[Or(And(x >= 0, m >= 0), Not(1 <= n))]",  18,  85.97
21, fuzz_spec, ( m > ( 1 - 10000 ) || n > ( -10000 + 10000 ) ), Failed, Yes, "None",  2,  2.74
22, fuzz_spec, ( ( x <= ( x * m ) && x >= 1 ) ), Passed, Yes, "[x <= m*x, x >= 1]",  16,  68.26
28, fuzz_spec, ( n > ( n + n ) || ( x == ( n * 0 ) && x <= 1 ) || x >= 1 ), Passed, Yes, "[Or(Not(n >= 0), And(x == 0, x <= 1), x >= 1)]",  9,  21.11
29, fuzz_spec, ( ( x > ( 0 + 1 ) && n <= ( n - 0 ) ) || x >= ( 1 * n ) ), Failed, Yes, "[Or(Not(x <= 1), x >= n)]",  10,  15.76
2, fuzz_spec, ( y <= ( x * x ) || ( y <= x && x == ( 1 - -10000 ) ) || y >= ( x * y ) ), Failed, Yes, "None",  19,  139.02
30, fuzz_spec, ( x >= ( x - x ) || x == 100 ), Passed, Yes, "[Or(x >= 0, x == 100)]",  16,  51.37
35, fuzz_spec, ( c >= ( c - c ) || c == 1 ), Passed, Yes, "[Or(c == 1, c >= 0)]",  13,  18.15
36, fuzz_spec, ( c > ( c + 1 ) || ( c <= 1 && c >= ( 0 * c ) ) || ( c <= ( 40 + 0 ) && c > ( 1 * 1 ) ) ), Passed, Yes, "[Or(And(c <= 40, Not(c <= 1)), And(c <= 1, c >= 0))]",  14,  93.47
37, fuzz_spec, ( ( c == ( c * c ) && c > ( 40 - 1 ) ) || c >= ( c - 0 ) || ( c == c && c <= ( 40 - 40 ) ) ), Passed, Yes, "[]",  8,  39.98
38, fuzz_spec, ( ( c > ( 0 - 1 ) && c >= 0 ) ), Passed, Yes, "[Not(c <= -1), c >= 0]",  8,  11.69
39, fuzz_spec, ( n <= n || ( n >= ( n + 1 ) && c < ( c * 1 ) ) || c <= ( 1 + c ) ), Passed, Yes, "[]",  7,  38.46
3, fuzz_spec, ( ( x == ( 1 - 1 ) && x < ( 5 * 5 ) ) || z >= ( y + 0 ) ), Passed, Yes, "[Or(z >= y, And(x == 0, Not(25 <= x)))]",  20,  244.98
40, fuzz_spec, ( ( c > ( 0 + 1 ) && c < 1 ) || ( c <= ( c + 1 ) && n >= ( c + 1 ) ) ), Passed, Yes, "[Or(And(Not(c <= 1), Not(1 <= c)), n >= 1 + c)]",  7,  38.65
41, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  11.28
4, fuzz_spec, ( z > ( x - 500 ) && ( x > ( x * x ) || z > ( x - 10000 ) ) ), Failed, Yes, "[Not(z <= -500 + x),
 Or(Not(x <= x*x), Not(z <= -10000 + x))]",  13,  66.41
51, fuzz_spec, ( c <= ( 0 + 4 ) ), Passed, Yes, "[c <= 4]",  19,  124.21
