Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( n < ( n * -10000 ) && n <= ( n + 0 ) ) || x <= n || ( x < ( n * x ) && n >= ( x * 1 ) ) ), Passed, Yes, "None",  12,  31.89
102, fuzz_spec, ( ( n >= 1 && x <= n ) || ( n >= x && x <= ( n - n ) ) || ( n <= 0 && n < ( 0 + 0 ) ) ), Passed, Yes, "[Or(And(n >= 1, x <= n),
    And(n >= x, x <= 0),
    And(n <= 0, Not(0 <= n)))]",  9,  23.42
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  13,  28.35
104, fuzz_spec, ( n < 0 || ( n >= ( 1 * x ) && x > ( 0 - n ) ) || x == ( n * 0 ) ), Passed, Yes, "[Or(x == 0, Not(0 <= n), And(n >= x, Not(x <= -1*n)))]",  8,  22.92
105, fuzz_spec, ( ( x <= 0 || n >= x ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  7,  22.05
10, fuzz_spec, ( y > 0 || ( x < 4 && y <= ( x * 0 ) ) ), Failed, Yes, "[Or(Not(y <= 0), And(Not(4 <= x), y <= 0))]",  21,  54.46
114, fuzz_spec, ( ( x == sn || x > ( x * x ) ) && ( x <= x || x < ( x + sn ) ) && x >= x ), Passed, Yes, "[Or(x == sn, Not(x <= x*x))]",  8,  23.33
115, fuzz_spec, ( sn == x ), Passed, Yes, "[]",  11,  29.00
116, fuzz_spec, ( x == sn ), Passed, Yes, "[]",  10,  30.53
117, fuzz_spec, ( sn == sn && x == sn ), Passed, Yes, "[]",  12,  40.33
11, fuzz_spec, ( y >= ( x - 10 ) || ( y >= ( 20 + 20 ) && x < 0 ) ), Passed, Yes, "[Or(y >= -10 + x, And(y >= 40, Not(0 <= x)))]",  17,  62.74
120, fuzz_spec, ( ( i <= 8 && i == ( sn + 1 ) ) ), Failed, Yes, "[sn <= 7]",  24,  245.00
128, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  23.15
129, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  23.25
12, fuzz_spec, ( x <= ( 10 + y ) ), Passed, Yes, "[x <= 10 + y]",  26,  94.76
131, fuzz_spec, ( ( d2 >= ( d1 - x3 ) || x1 >= ( d1 * d3 ) ) ), Failed, Yes, "[Or(d2 >= d1 + -1*x3, x1 >= d1*d3)]",  15,  171.99
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  9,  22.03
13, fuzz_spec, ( x <= ( y + 2 ) || ( x <= ( 2 + 4 ) && y > y ) || y > y ), Passed, Yes, "[x <= 2 + y]",  19,  54.64
14, fuzz_spec, ( ( x <= 2 && y == ( y - 4 ) ) || x < ( 4 + y ) || ( y == ( x + y ) && x < 0 ) ), Passed, Yes, "[Or(Not(y <= -4 + x), And(0 == x, Not(0 <= x)))]",  20,  54.24
15, fuzz_spec, ( m < n || m <= ( x - x ) || ( m > ( m - 0 ) && m == ( 1 + 0 ) ) ), Passed, Yes, "[Or(Not(n <= m), m <= 0)]",  22,  53.04
16, fuzz_spec, ( ( m >= ( 0 * x ) && x >= ( x * 0 ) ) ), Passed, Yes, "[m >= 0, x >= 0]",  29,  223.41
17, fuzz_spec, ( ( n == ( m * n ) && m >= x ) || x == ( x - n ) || ( m <= ( n - 1 ) && x > ( x - 1 ) ) ), Passed, Yes, "[Or(m <= -1 + n, And(n == m*n, m >= x), n == 0)]",  19,  84.34
18, fuzz_spec, ( n <= 1 || ( x >= m && m >= 1 ) ), Passed, Yes, "[Or(n <= 1, And(x >= m, m >= 1))]",  11,  37.11
19, fuzz_spec, ( ( x < 1 || n > m ) && m <= ( x - 0 ) ), Passed, Yes, "[Or(Not(1 <= x), Not(n <= m)), m <= x]",  17,  74.68
1, fuzz_spec, ( x == x ), Failed, Yes, "[]",  4,  14.86
20, fuzz_spec, ( ( m >= ( 0 + 0 ) && x >= 0 ) ), Passed, Yes, "[m >= 0, x >= 0]",  23,  101.96
21, fuzz_spec, ( ( n == ( m * n ) || n < ( x - 10000 ) ) ), Failed, Yes, "[Or(n == m*n, Not(x <= 10000 + n))]",  16,  206.66
22, fuzz_spec, ( ( n < n || m > ( 1 - 1 ) ) && ( x > ( x + 1 ) || x > ( n - n ) ) ), Passed, Yes, "[Not(m <= 0), Not(x <= 0)]",  23,  103.08
25, fuzz_spec, ( x >= ( x - x ) || x == 10000 ), Passed, Yes, "[Or(x >= 0, x == 10000)]",  13,  27.28
28, fuzz_spec, ( ( n < ( 1 + x ) || x >= 0 ) ), Passed, Yes, "[Or(Not(x <= -1 + n), x >= 0)]",  10,  29.28
29, fuzz_spec, ( ( x == ( n - 0 ) || x >= 0 ) ), Passed, Yes, "[Or(x == n, x >= 0)]",  8,  21.10
2, fuzz_spec, ( x > ( x + 0 ) && x > 10000 && y < -1000 ), Failed, Yes, "None",  2,  11.79
30, fuzz_spec, ( x >= ( x - x ) || x == 100 ), Passed, Yes, "[Or(x >= 0, x == 100)]",  13,  27.25
33, fuzz_spec, ( x == ( 1 * n ) || x >= ( 0 * x ) ), Passed, Yes, "[Or(x == n, x >= 0)]",  9,  25.82
34, fuzz_spec, ( x >= 0 || x >= n ), Passed, Yes, "[Or(x >= 0, x >= n)]",  9,  24.24
35, fuzz_spec, ( c >= ( c - c ) || c == 1 ), Passed, Yes, "[Or(c == 1, c >= 0)]",  12,  26.06
36, fuzz_spec, ( ( c <= 40 || c >= ( c + c ) ) && ( c == ( c * 0 ) || c >= 1 ) && c == c ), Passed, Yes, "[Or(c <= 40, c <= 0), Or(c == 0, c >= 1)]",  14,  45.12
37, fuzz_spec, ( ( c < c && c == ( c - 40 ) ) || c <= ( c - c ) || c > 0 ), Passed, Yes, "[]",  7,  18.63
38, fuzz_spec, ( ( c > ( 0 - 1 ) && c >= 0 ) ), Passed, Yes, "[Not(c <= -1), c >= 0]",  9,  22.11
39, fuzz_spec, ( n <= n || ( n >= ( n + 1 ) && c < ( c * 1 ) ) || c <= ( 1 + c ) ), Passed, Yes, "[]",  7,  18.54
3, fuzz_spec, ( ( x <= ( 1 + 1 ) || y < ( z + 5 ) ) && ( x < ( 1 + 1 ) || y < ( 1 + z ) ) ), Passed, Yes, "[Or(x <= 2, Not(z <= -5 + y)),
 Or(Not(2 <= x), Not(z <= -1 + y))]",  17,  129.15
40, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  20.16
41, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  20.13
42, fuzz_spec, ( c >= ( n * 0 ) && n > ( 0 * c ) ), Passed, Yes, "[c >= 0, Not(n <= 0)]",  7,  18.87
43, fuzz_spec, ( n > ( n * c ) && ( c < ( 1 + c ) || n >= ( n + 0 ) ) ), Passed, Yes, "[Not(n <= c*n)]",  1,  10.42
44, fuzz_spec, ( n > ( n * c ) && ( c < ( 1 + c ) || n >= ( n + 0 ) ) ), Passed, Yes, "[Not(n <= c*n)]",  1,  10.41
45, fuzz_spec, ( c < ( 0 * 1 ) || n >= ( c + 1 ) ), Failed, Yes, "[Or(Not(0 <= c), n >= 1 + c)]",  1,  0.34
46, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Failed, Yes, "[c >= 0, Not(n <= c)]",  9,  21.54
47, fuzz_spec, ( c >= ( n * 0 ) && n > ( 0 * c ) ), Passed, Yes, "[c >= 0, Not(n <= 0)]",  7,  18.93
48, fuzz_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  13.09
49, fuzz_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  13.10
4, fuzz_spec, ( x < 500 ), Failed, Yes, "[Not(500 <= x)]",  9,  25.05
50, fuzz_spec, ( ( c >= ( 0 * 4 ) || c == ( c + c ) ) ), Passed, Yes, "[Or(c >= 0, c == 0)]",  8,  22.36
51, fuzz_spec, ( c == ( 0 - c ) || ( c > ( 0 + c ) && c <= ( 4 + 0 ) ) || ( c < 4 && c >= ( c * 1 ) ) ), Failed, Yes, "[Or(Not(4 <= c), c == 0)]",  16,  32.31
52, fuzz_spec, ( ( c < c && c == ( c - 4 ) ) || c <= ( c - c ) || c > 0 ), Passed, Yes, "[]",  7,  18.63
53, fuzz_spec, ( c >= ( n * 0 ) && n > ( 0 * c ) ), Passed, Yes, "[c >= 0, Not(n <= 0)]",  8,  20.21
54, fuzz_spec, ( ( n > c && c >= 0 ) ), Passed, Yes, "[Not(n <= c), c >= 0]",  5,  15.98
55, fuzz_spec, ( c >= ( n * 0 ) && n > ( 0 * c ) ), Passed, Yes, "[c >= 0, Not(n <= 0)]",  7,  18.93
56, fuzz_spec, ( n > ( n * c ) && ( c < ( 1 + c ) || n >= ( n + 0 ) ) ), Passed, Yes, "[Not(n <= c*n)]",  1,  10.42
