Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x == ( x + x ) || n >= ( 1 * x ) ) ), Passed, Yes, "[Or(x == 0, n >= x)]",  9,  18.21
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  25.77
104, fuzz_spec, ( ( n >= ( 0 + x ) && x >= ( n - n ) ) || x == ( 0 - 0 ) ), Passed, Yes, "[Or(x == 0, And(n >= x, x >= 0))]",  10,  29.13
105, fuzz_spec, ( x <= ( n - 0 ) || x == ( x - x ) ), Passed, Yes, "[Or(x <= n, x == 0)]",  10,  56.98
10, fuzz_spec, ( y <= ( y - y ) || x >= ( 0 * x ) ), Failed, Yes, "[Or(y <= 0, x >= 0)]",  2,  2.71
116, fuzz_spec, ( sn == ( x * 1 ) && ( x == ( x - 0 ) || sn > -1 ) ), Passed, Yes, "None",  11,  28.07
11, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  4.05
120, fuzz_spec, ( ( i <= ( 8 * 1 ) || i <= ( 8 + 1 ) ) && ( i <= ( 0 + i ) || sn == ( 1 * sn ) ) && i == ( 1 + sn ) ), Passed, Yes, "[Or(sn <= 7, sn <= 8)]",  30,  407.46
128, fuzz_spec, ( x > ( 1 - 1 ) || ( x >= ( y + x ) && x > ( 1 * 1 ) ) ), Passed, Yes, "[Or(Not(x <= 0), And(0 >= y, Not(x <= 1)))]",  9,  22.74
129, fuzz_spec, ( ( x >= 1 && y < ( 1 * x ) ) || x >= 1 || y >= 1 ), Passed, Yes, "[Or(And(x >= 1, Not(x <= y)), x >= 1, y >= 1)]",  8,  12.31
12, fuzz_spec, ( y >= x || ( y <= 20 && y < ( 10 - 20 ) ) || ( y <= 20 && x <= ( 10 - x ) ) ), Failed, Yes, "[Or(y >= x,
    And(y <= 20, x <= 5),
    And(y <= 20, Not(-10 <= y)))]",  19,  112.12
133, fuzz_spec, ( ( x > ( 1 + 0 ) && x < 0 ) || ( x <= ( x + 0 ) && n >= ( x + 0 ) ) ), Passed, Yes, "[Or(And(Not(x <= 1), Not(0 <= x)), n >= x)]",  9,  12.54
13, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  4.03
14, fuzz_spec, ( y > ( x + 4 ) ), Failed, Yes, "[Not(y <= 4 + x)]",  10,  13.65
15, fuzz_spec, ( ( m <= ( 0 * x ) && n > ( n + 1 ) ) || ( m == ( 0 + m ) && x >= m ) ), Failed, Yes, "[x >= m]",  4,  5.46
16, fuzz_spec, ( n >= ( 0 * x ) || m >= 0 ), Failed, Yes, "[Or(m >= 0, n >= 0)]",  1,  1.32
