Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( n < 0 && x <= 1 ) || ( n > ( n * 10000 ) && n >= 10000 ) ), Failed, Yes, "[Or(And(Not(0 <= n), x <= 1), And(Not(n >= 0), n >= 10000))]",  3,  4.62
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  20.69
104, fuzz_spec, ( n >= x || x <= ( 0 * 0 ) || x < ( 0 - 0 ) ), Passed, Yes, "[Or(n >= x, x <= 0, Not(0 <= x))]",  10,  21.32
105, fuzz_spec, ( ( n >= x || n < ( 0 - n ) ) ), Passed, Yes, "[Or(n >= x, Not(n >= 0))]",  13,  61.39
10, fuzz_spec, ( x > ( y * x ) || x <= ( x + y ) ), Failed, Yes, "[Or(Not(x <= x*y), 0 <= y)]",  3,  4.01
116, fuzz_spec, ( ( x <= x && x <= ( -1 + x ) ) || x == ( sn * 1 ) ), Passed, Yes, "None",  11,  17.11
11, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  3.99
120, fuzz_spec, ( ( i < ( i * i ) && i <= ( 0 + 8 ) ) || i == ( sn * 1 ) || i <= ( 8 + 1 ) ), Failed, Yes, "[Or(And(Not(i*i <= i), i <= 8), i == sn, i <= 9)]",  14,  59.12
128, fuzz_spec, ( ( x >= 1 && y == ( 1 * y ) ) || ( x > ( 1 - x ) && x < ( y - 1 ) ) ), Passed, Yes, "[Or(x >= 1, And(Not(x <= 0), Not(y <= 1 + x)))]",  9,  13.89
129, fuzz_spec, ( ( x >= 1 && y == ( 1 * y ) ) || ( x > ( 1 - x ) && x < ( y - 1 ) ) ), Passed, Yes, "[Or(x >= 1, And(Not(x <= 0), Not(y <= 1 + x)))]",  9,  17.91
12, fuzz_spec, ( y <= ( y - y ) || x >= ( 0 * x ) ), Failed, Yes, "[Or(y <= 0, x >= 0)]",  2,  2.70
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  11,  15.61
13, fuzz_spec, ( y <= ( 0 - 4 ) || x <= ( 0 + y ) || ( x >= ( y - y ) && y > ( x - 4 ) ) ), Failed, Yes, "[Or(y <= -4, x <= y, And(x >= 0, Not(y <= -4 + x)))]",  14,  38.75
14, fuzz_spec, ( x == x ), Failed, Yes, "[]",  4,  5.34
15, fuzz_spec, ( ( x >= ( x + m ) || x == ( m * 0 ) ) && ( m <= ( 1 + 0 ) || x == n ) ), Failed, Yes, "[Or(x == 0, 0 >= m), Or(m <= 1, x == n)]",  15,  26.36
16, fuzz_spec, ( x >= ( x * x ) || ( x <= ( 1 * n ) && m <= ( 0 * 0 ) ) ), Failed, Yes, "[Or(x >= x*x, And(x <= n, m <= 0))]",  19,  30.46
17, fuzz_spec, ( ( m == ( n - 1 ) && n == ( x * 1 ) ) || m < n || n <= ( 1 + 1 ) ), Failed, Yes, "[Or(Not(n <= m), And(m == -1 + n, n == x), n <= 2)]",  11,  17.75
18, fuzz_spec, ( ( m >= 1 && x >= 1 ) ), Passed, Yes, "[m >= 1, x >= 1]",  16,  42.98
19, fuzz_spec, ( n > m || n <= ( n * 0 ) ), Passed, Yes, "[Or(Not(n <= m), n <= 0)]",  12,  20.78
21, fuzz_spec, ( ( n >= ( 10000 * 10000 ) || n <= n ) ), Failed, Yes, "None",  3,  4.13
