Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( n <= ( 10000 - 0 ) && x <= ( n * 0 ) ) || n >= x || ( x < ( 1 * x ) && n >= n ) ), Passed, Yes, "[Or(n >= x, And(n <= 10000, x <= 0))]",  7,  25.19
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  26.33
104, fuzz_spec, ( ( x <= 0 || n >= ( 1 * x ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  51.41
105, fuzz_spec, ( ( n > ( 0 - n ) && n >= x ) || x == ( 0 * 0 ) || n >= x ), Passed, Yes, "[Or(And(Not(n <= 0), n >= x), n >= x, x == 0)]",  9,  27.63
10, fuzz_spec, ( ( y <= 0 && y >= 2 ) || ( x < ( 4 + y ) && y < ( 4 + y ) ) || ( y >= ( 4 + 4 ) && y > ( x - y ) ) ), Passed, Yes, "[Or(And(y <= 0, y >= 2),
    Not(y <= -4 + x),
    And(y >= 8, Not(2*y <= x)))]",  20,  45.01
116, fuzz_spec, ( sn == x && x == ( sn + 0 ) ), Passed, Yes, "[]",  11,  39.30
11, fuzz_spec, ( x <= ( y + 10 ) ), Passed, Yes, "[x <= 10 + y]",  22,  123.28
128, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  9,  23.08
129, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  9,  22.98
12, fuzz_spec, ( ( y == ( 20 + x ) && x > ( 10 + x ) ) || ( x <= ( 20 + x ) && y >= ( x - 10 ) ) ), Passed, Yes, "[y >= -10 + x]",  16,  132.21
133, fuzz_spec, ( ( n >= x && x >= ( 1 - 1 ) ) ), Passed, Yes, "[n >= x, x >= 0]",  13,  34.28
13, fuzz_spec, ( x <= ( y + 2 ) || ( x >= ( 0 * x ) && y > ( x * 2 ) ) || ( x < ( y + y ) && x < ( 0 + x ) ) ), Passed, Yes, "[Or(x <= 2 + y, And(x >= 0, Not(y <= 2*x)))]",  11,  31.02
14, fuzz_spec, ( ( y >= 0 && y >= ( x - 2 ) ) ), Passed, Yes, "[y >= 0, y >= -2 + x]",  13,  31.23
15, fuzz_spec, ( ( m < 1 || n > m ) ), Passed, Yes, "[Or(Not(1 <= m), Not(n <= m))]",  24,  69.56
16, fuzz_spec, ( ( x >= 0 || m < 0 ) && m >= 0 ), Passed, Yes, "[Or(x >= 0, Not(0 <= m)), m >= 0]",  19,  40.34
17, fuzz_spec, ( ( x == 1 && x >= ( 1 + x ) ) || ( x <= ( n * n ) && m < ( 1 * n ) ) || ( m == m && n < ( 1 + 1 ) ) ), Passed, Yes, "[Or(And(x <= n*n, Not(n <= m)), Not(2 <= n))]",  22,  137.24
19, fuzz_spec, ( m < n || m == ( 0 * x ) ), Passed, Yes, "[Or(Not(n <= m), m == 0)]",  22,  70.82
20, fuzz_spec, ( ( x >= 0 || n == 0 ) && ( n == ( m * 0 ) || m >= 0 ) ), Passed, Yes, "[Or(n == 0, x >= 0), Or(n == 0, m >= 0)]",  22,  108.98
41, fuzz_spec, ( ( c >= 0 && c < ( 1 * n ) ) ), Passed, Yes, "[c >= 0, Not(n <= c)]",  8,  20.27
4, fuzz_spec, ( z >= y || x <= ( 500 - 10000 ) || x == ( 0 * z ) ), Passed, Yes, "[Or(x == 0, z >= y, x <= -9500)]",  14,  205.41
51, fuzz_spec, ( c < ( 4 + 1 ) ), Passed, Yes, "[Not(5 <= c)]",  18,  40.17
54, fuzz_spec, ( ( n > c && c >= 0 ) ), Passed, Yes, "[Not(n <= c), c >= 0]",  5,  16.00
63, fuzz_spec, ( ( x < ( x * x ) && x <= ( x + y ) ) || x >= ( x - y ) || ( x < 10 && x >= ( x * x ) ) ), Passed, Yes, "[Or(And(Not(x*x <= x), 0 <= y),
    And(Not(10 <= x), x >= x*x),
    y >= 0)]",  15,  71.93
70, fuzz_spec, ( ( x <= ( 1 - 0 ) || y < n ) ), Passed, Yes, "[Or(x <= 1, Not(n <= y))]",  23,  134.59
74, fuzz_spec, ( ( c > ( 0 - 1 ) || z == ( c - z ) ) && ( y >= ( 127 + z ) || z >= ( 1 * 0 ) ) && c >= ( c - z ) ), Passed, Yes, "[Or(Not(c <= -1), 2*z == c), z >= 0]",  10,  25.81
77, fuzz_spec, ( y < ( 1 + x ) ), Passed, Yes, "[Not(x <= -1 + y)]",  16,  38.40
79, fuzz_spec, ( x >= ( i * 0 ) || ( y > ( 1 - x ) && y < ( x + x ) ) ), Passed, Yes, "[Or(x >= 0, And(Not(y <= 1 + -1*x), Not(2*x <= y)))]",  22,  46.62
80, fuzz_spec, ( y <= x ), Passed, Yes, "[y <= x]",  4,  14.46
